scenario,month,mau,joins,quits,dau,goldFaucet,goldClaimed,goldOnchainSupply,goldBurnMonth,goldBurnedTotal,goldTreasury,dolEmissionMonth,dolUnlocked,dolCirculating,dolLocked,dolStaked,dolFloatFree,dolBurnMonth,dolBurnedTotal,dolTreasury,inflationMonthlyPct,marketCapUsd,liquidityUsd
bear,1,539,99,60,135,12328200,205470,198716,1617,1617,6754,6250000,61041667,61041650,938958333,12208330,48833320,16,16,4166683,0,305208,24417
bear,2,576,102,65,144,13150080,421214,602704,1728,3345,23980,6250000,77083333,77083300,922916667,15416660,61666640,17,33,8333367,8.824,385416,30833
bear,3,613,106,69,153,13971960,647059,1216680,1839,5184,57063,6250000,93125000,93124948,906875000,18624990,74499959,18,52,12500052,7.194,465625,37250
bear,4,648,109,74,162,14793840,882839,2045087,1944,7128,111495,6250000,109166667,109166595,890833333,21833319,87333276,19,71,16666738,6.073,545833,43667
bear,5,683,113,78,171,15615720,1128387,3092088,2049,9177,192881,6250000,125208333,125208242,874791667,25041648,100166593,20,92,20833425,5.254,626041,50083
bear,6,717,116,82,179,16346280,1382019,4360103,2151,11328,306885,6250000,141250000,141249887,858750000,28249977,112999909,22,113,25000113,4.63,706249,56500
bear,7,750,119,86,188,17168160,1645121,5852843,2250,13578,459265,6250000,162291667,162291531,837708333,32458306,129833225,23,136,29166802,4.005,811458,64917
bear,8,782,122,90,196,17898720,1916014,7572290,2346,15924,655833,6250000,183333333,183333174,816666667,36666635,146666539,23,159,33333493,3.529,916666,73333
bear,9,813,125,94,203,18537960,2193047,9518764,2439,18363,902405,6250000,204375000,204374816,795625000,40874963,163499853,24,184,37500184,3.155,1021874,81750
bear,10,843,128,98,211,19268520,2477638,11693963,2529,20892,1204844,6250000,225416667,225416458,774583333,45083292,180333166,25,209,41666876,2.852,1127082,90167
bear,11,873,131,101,218,19907760,2768140,14097931,2619,23511,1569016,6250000,246458333,246458098,753541667,49291620,197166479,26,235,45833568,2.602,1232290,98583
bear,12,901,133,105,225,20547000,3064454,16730623,2703,26214,2000778,6250000,267500000,267499738,732500000,53499948,213999790,27,262,50000262,2.392,1337499,107000
bear,13,929,136,108,232,21186240,3366484,19591892,2787,29001,2505993,4687500,290868056,290867766,709131944,58173553,232694212,28,290,54166957,1.638,1454339,116347
bear,14,957,139,111,239,21825480,3674134,22681504,2871,31872,3090515,4687500,314236111,314235792,685763889,62847158,251388634,29,319,58333652,1.514,1571179,125694
bear,15,983,141,115,246,22464720,3987310,25999145,2949,34821,3760184,4687500,337604167,337603818,662395833,67520764,270083055,29,348,62500348,1.408,1688019,135042
bear,16,1008,143,118,252,23012640,4304399,29542932,3024,37845,4520796,4687500,360972222,360971844,639027778,72194369,288777475,30,378,66667045,1.316,1804859,144389
bear,17,1033,146,121,258,23560560,4625335,33310961,3099,40944,5378102,4687500,384340278,384339868,615659722,76867974,307471895,31,409,70833743,1.235,1921699,153736
bear,18,1057,148,124,264,24108480,4950054,37301319,3171,44115,6337799,4687500,407708333,407699965,592291667,81539993,326159972,7959,8369,75002027,1.163,2038500,163080
bear,19,1080,150,127,270,24656400,5278493,41512077,3240,47355,7405534,4687500,431076389,431059888,568923611,86211978,344847910,8132,16501,79170346,1.099,2155299,172424
bear,20,1102,152,130,276,25204320,5610590,45941295,3306,50661,8586907,4687500,454444444,454419645,545555556,90883929,363535716,8298,24799,83338698,1.042,2272098,181768
bear,21,1124,154,132,281,25660920,5944763,50585534,3372,54033,9887430,4687500,477812500,477779237,522187500,95555847,382223390,8464,33263,87507085,0.991,2388896,191112
bear,22,1145,156,135,286,26117520,6280975,55441412,3435,57468,11312528,4687500,501180556,501138671,498819444,100227734,400910937,8622,41885,91675503,0.944,2505693,200455
bear,23,1166,158,137,292,26665440,6620716,60507077,3498,60966,12867579,4687500,524548611,524497946,475451389,104899589,419598357,8780,50665,95843954,0.902,2622490,209799
bear,24,1186,160,140,297,27122040,6962405,65779187,3558,64524,14557874,4687500,547916667,547857071,452083333,109571414,438285657,8931,59595,100012435,0.863,2739285,219143
bear,25,1206,162,142,302,27578640,7306009,71254448,3618,68142,16388622,3515625,566987847,566919171,433012153,113383834,453535337,9081,68676,104180947,0.624,2834596,226768
bear,26,1224,163,145,306,27943920,7649974,76928140,3672,71814,18364904,3515625,586059028,585981135,413940972,117196227,468784908,9217,77893,108349486,0.604,2929906,234392
bear,27,1242,165,147,311,28400520,7995817,82797131,3726,75540,20491729,3515625,605130208,605042963,394869792,121008593,484034370,9352,87245,112518053,0.584,3025215,242017
bear,28,1259,166,149,315,28765800,8341983,88856859,3777,79317,22773984,3515625,624201389,624104663,375798611,124820933,499283731,9480,96726,116686646,0.566,3120523,249642
bear,29,1276,168,151,319,29131080,8688468,95102866,3828,83145,25216445,3515625,643272569,643166235,356727431,128633247,514532988,9608,106334,120855265,0.55,3215831,257266
bear,30,1292,169,153,323,29496360,9035266,101530803,3876,87021,27823775,3515625,662343750,662227687,337656250,132445537,529782150,9729,116063,125023909,0.534,3311138,264891
bear,31,1308,171,155,327,29861640,9382372,108136422,3924,90945,30600528,3515625,676414931,676289019,323585069,135257804,541031215,9849,125912,129192577,0.523,3381445,270516
bear,32,1323,172,157,331,30226920,9729781,114915579,3969,94914,33551152,3515625,690486111,690350237,309513889,138070047,552280190,9962,135874,133361267,0.512,3451751,276140
bear,33,1338,174,159,335,30592200,10077488,121864227,4014,98928,36679993,3515625,704557292,704411342,295442708,140882268,563529074,10075,145949,137529981,0.502,3522057,281765
bear,34,1352,175,161,338,30866160,10423966,128976933,4056,102984,39991254,3515625,718628472,718472342,281371528,143694468,574777874,10181,156130,141698717,0.492,3592362,287389
bear,35,1366,176,162,342,31231440,10770758,136249900,4098,107082,43489044,3515625,732699653,732533237,267300347,146506647,586026590,10286,166416,145867473,0.482,3662666,293013
bear,36,1379,177,164,345,31505400,11116335,143677942,4137,111219,47177337,3515625,746770833,746594034,253229167,149318807,597275227,10384,176800,150036250,0.473,3732970,298638
bear,37,1392,178,165,348,31779360,11460719,151256018,4176,115395,51059979,2636719,759963108,759775826,240036892,151955165,607820661,10482,187281,154205046,0.348,3798879,303910
bear,38,1405,180,167,351,32053320,11803929,158979233,4215,119610,55140693,2636719,773155382,772957521,226844618,154591504,618366017,10580,197861,158373862,0.342,3864788,309183
bear,39,1417,181,169,354,32327280,12145985,166842836,4251,123861,59423074,2636719,786347656,786139125,213652344,157227825,628911300,10670,208531,162542697,0.337,3930696,314456
bear,40,1429,182,170,357,32601240,12486905,174842211,4287,128148,63910605,2636719,799539931,799320639,200460069,159864128,639456511,10760,219291,166711550,0.331,3996603,319728
bear,41,1441,183,171,360,32875200,12826710,182972876,4323,132471,68606651,2636719,812732205,812502063,187267795,162500413,650001650,10851,230142,170880422,0.326,4062510,325001
bear,42,1452,184,173,363,33149160,13165418,191230480,4356,136827,73514464,2636719,825924479,825683403,174075521,165136681,660546723,10934,241076,175049310,0.32,4128417,330273
bear,43,1463,185,174,366,33423120,13503046,199610799,4389,141216,78637192,2636719,839116753,838864661,160883247,167772932,671091729,11016,252092,179218215,0.315,4194323,335546
bear,44,1473,186,176,368,33605760,13838091,208108250,4419,145635,83977833,2636719,852309028,852045844,147690972,170409169,681636675,11092,263184,183387135,0.31,4260229,340818
bear,45,1482,186,177,371,33879720,14172119,216718913,4446,150081,89539288,2636719,865501302,865226959,134498698,173045392,692181567,11159,274343,187556069,0.306,4326135,346091
bear,46,1491,187,178,373,34062360,14503623,225437499,4473,154554,95324324,2636719,878693576,878408006,121306424,175681601,702726405,11227,285571,191725017,0.301,4392040,351363
bear,47,1500,188,179,375,34245000,14832646,234258891,4500,159054,101335578,2636719,891885851,891588985,108114149,178317797,713271188,11295,296866,195893979,0.297,4457945,356636
bear,48,1509,189,180,377,34427640,15159229,243178140,4527,163581,107575558,2636719,905078125,904769897,94921875,180953979,723815917,11363,308228,200062954,0.292,4523849,361908
bear,49,1518,190,181,380,34701600,15484935,252191944,4554,168135,114046689,1977539,907055664,906736005,92944336,181347201,725388804,11431,319659,200065277,0.219,4533680,362694
bear,50,1526,190,182,382,34884240,15808257,261295618,4578,172713,120751272,1977539,909033203,908702053,90966797,181740411,726961643,11491,331150,200067612,0.218,4543510,363481
bear,51,1534,191,183,384,35066880,16129234,270484628,4602,177315,127691495,1977539,911010742,910668042,88989258,182133608,728534433,11551,342701,200069959,0.218,4553340,364267
bear,52,1542,192,184,386,35249520,16447905,279754594,4626,181941,134869435,1977539,912988281,912633969,87011719,182526794,730107175,11611,354312,200072318,0.217,4563170,365054
bear,53,1549,192,185,387,35340840,16762788,289099800,4647,186588,142287016,1977539,914965820,914599844,85034180,182919969,731679876,11664,365976,200074688,0.217,4572999,365840
bear,54,1556,193,186,389,35523480,17075466,298516216,4668,191256,149946066,1977539,916943359,916565667,83056641,183313133,733252533,11717,377693,200077069,0.216,4582828,366626
bear,55,1562,193,187,391,35706120,17385977,307999952,4686,195942,157848307,1977539,918920898,918531444,81079102,183706289,734825155,11762,389454,200079458,0.216,4592657,367413
bear,56,1569,194,187,392,35797440,17692834,317545760,4707,200649,165995333,1977539,920898438,920497169,79101563,184099434,736397735,11815,401269,200081859,0.215,4602486,368199
bear,57,1576,195,188,394,35980080,17997622,327150069,4728,205377,174388646,1977539,922875977,922462840,77124023,184492568,737970272,11867,413136,200084270,0.215,4612314,368985
bear,58,1582,195,189,396,36162720,18300373,336809436,4746,210123,183029653,1977539,924853516,924428467,75146484,184885693,739542774,11912,425049,200086691,0.214,4622142,369771
bear,59,1588,196,190,397,36254040,18599601,346519047,4764,214887,191919643,1977539,926831055,926394048,73168945,185278810,741115239,11958,437006,200089120,0.214,4631970,370558
bear,60,1593,196,191,398,36345360,18895364,356274271,4779,219666,201059782,1977539,928808594,928359592,71191406,185671918,742687674,11995,449002,200091558,0.213,4641798,371344
bear,61,1599,197,191,400,36528000,19189241,366072128,4797,224463,210451167,1483154,930291748,929830706,69708252,185966141,743864565,12040,461042,200094004,0.16,4649154,371932
bear,62,1604,197,192,401,36619320,19479742,375908261,4812,229275,220094776,1483154,931774902,931301782,68225098,186260356,745041426,12078,473120,200096458,0.16,4656509,372521
bear,63,1610,198,192,403,36801960,19768446,385779960,4830,234105,229991523,1483154,933258057,932772813,66741943,186554563,746218250,12123,485244,200098922,0.159,4663864,373109
bear,64,1615,198,193,404,36893280,20053860,395683129,4845,238950,240142214,1483154,934741211,934243806,65258789,186848761,747395045,12161,497405,200101393,0.159,4671219,373698
bear,65,1619,198,194,405,36984600,20336039,405613832,4857,243807,250547550,1483154,936224365,935714770,63775635,187142954,748571816,12191,509596,200103870,0.159,4678574,374286
bear,66,1624,199,194,406,37075920,20615037,415568275,4872,248679,261208144,1483154,937707520,937185695,62292480,187437139,749748556,12229,521824,200106354,0.159,4685928,374874
bear,67,1628,199,195,407,37167240,20890907,425542819,4884,253563,272124507,1483154,939190674,938656591,60809326,187731318,750925273,12259,534083,200108845,0.158,4693283,375463
bear,68,1633,200,195,408,37258560,21163701,435533958,4899,258462,283297069,1483154,940673828,940127449,59326172,188025490,752101959,12296,546380,200111344,0.158,4700637,376051
bear,69,1637,200,196,409,37349880,21433471,445538332,4911,263373,294726166,1483154,942156982,941598276,57843018,188319655,753278621,12327,558706,200113848,0.158,4707991,376639
bear,70,1641,200,196,410,37441200,21700266,455552710,4923,268296,306412054,1483154,943640137,943069074,56359863,188613815,754455259,12357,571063,200116359,0.158,4715345,377228
bear,71,1645,201,197,411,37532520,21964137,465573991,4935,273231,318354910,1483154,945123291,944539841,54876709,188907968,755631873,12387,583450,200118876,0.157,4722699,377816
bear,72,1649,201,197,412,37623840,22225132,475599199,4947,278178,330554835,1483154,946606445,946010579,53393555,189202116,756808463,12417,595867,200121399,0.157,4730053,378404
bear,73,1652,201,198,413,37715160,22483299,485625480,4956,283134,343011854,1112366,947718811,947110505,52281189,189422101,757688404,12440,608306,200123926,0.118,4735553,378844
bear,74,1656,202,198,414,37806480,22738686,495650093,4968,288102,355725926,1112366,948831177,948210401,51168823,189642080,758568321,12470,620776,200126460,0.117,4741052,379284
bear,75,1659,202,199,415,37897800,22991338,505670418,4977,293079,368696939,1112366,949943542,949310274,50056458,189862055,759448219,12492,633268,200128998,0.117,4746551,379724
bear,76,1662,202,199,416,37989120,23241301,515683940,4986,298065,381924718,1112366,951055908,950410125,48944092,190082025,760328100,12515,645783,200131541,0.117,4752051,380164
bear,77,1665,202,199,416,37989120,23487098,525686767,4995,303060,395408989,1112366,952168274,951509953,47831726,190301991,761207963,12537,658321,200134089,0.117,4757550,380604
bear,78,1668,203,200,417,38080440,23730320,535676656,5004,308064,409149420,1112366,953280640,952609759,46719360,190521952,762087807,12560,670881,200136641,0.117,4763049,381044
bear,79,1671,203,200,418,38171760,23971011,545651462,5013,313077,423145624,1112366,954393005,953709542,45606995,190741908,762967634,12583,683463,200139197,0.117,4768548,381484
bear,80,1673,203,201,418,38171760,24207690,555607654,5019,318096,437397122,1112366,955505371,954809310,44494629,190961862,763847448,12598,696061,200141757,0.117,4774047,381924
bear,81,1675,203,201,419,38263080,24441946,565543335,5025,323121,451903387,1112366,956617737,955909063,43382263,191181813,764727250,12613,708674,200144320,0.117,4779545,382364
bear,82,1677,203,201,419,38263080,24672299,575455212,5031,328152,466663809,1112366,957730103,957008801,42269897,191401760,765607041,12628,721302,200146886,0.116,4785044,382804
bear,83,1680,204,201,420,38354400,24900334,585341617,5040,333192,481677738,1112366,958842468,958108516,41157532,191621703,766486813,12650,733952,200149456,0.116,4790543,383243
